54 190
Moscow 56.51230429144343 37.9153386007723
Ulaanbaatar 47.93191334867645 106.91703875534121
Beijing 39.91419492547078 116.29991032562582
New Delhi 28.553403435532104 77.12741615347798
Tokyo 35.614602293777025 139.67222893109147
Jakarta -5.637075754661206 107.12888913026009
Canberra -35.119556318015334 149.18106503146166
Hanoi 21.108451159390754  105.81256323204045
Kuala Lumpur  Jakarta
Kuala Lumpur  Hanoi
Hanoi  Beijing
Hanoi  Kuala Lumpur
Hanoi  Manila
Hanoi  New Delhi
Canberra  Tokyo
Canberra  Jakarta
Astana  Moscow
Astana  Ulaanbaatar
Astana  Beijing
Astana  Islamabad
New Delhi  Islamabad
New Delhi  Beijing
New Delhi  Hanoi
Islamabad  New Delhi
Islamabad  Beijing
Islamabad  Astana
Islamabad  Riyadh
Islamabad  Ankara
Riyadh  Islamabad
Riyadh  Khartoum
Riyadh  Cairo
Riyadh  Ankara
Minsk  Moscow
Minsk  Warsaw
Minsk  Stockholm
Stockholm  Moscow
Stockholm  Warsaw
Stockholm  Minsk
Stockholm  Berlin
Warsaw  Stockholm
Warsaw  Minsk
Warsaw  Berlin
Warsaw  Bucharest
Warsaw  Vienna
Berlin  Warsaw
Berlin  Vienna
Berlin  Dublin
Berlin  Stockholm 
Dublin  Berlin
Dublin  Paris
Dublin  Reykjavik
Berlin  Paris
Paris  Berlin
Paris  Dublin 
Paris  Vienna
Paris  Madrid 
Vienna  Paris
Vienna  Berlin
Vienna  Warsaw
Vienna  Bucharest 
Bucharest  Vienna
Bucharest  Warsaw
Bucharest  Ankara
Ankara  Bucharest
Ankara  Riyadh
Ankara  Islamabad
Madrid  Paris
Madrid  Algiers
Madrid  Rabat 
Algiers  Rabat
Algiers  Niamey
Algiers  Bamako
Algiers  Nouakchott
Algiers  Tripoli
Rabat  Madrid
Rabat  Algiers
Rabat  Bamako
Rabat  Nouakchott
Tripoli  Algiers
Tripoli  Niamey
Tripoli  Cairo
Tripoli  N'Djamena
Cairo  Riyadh
Cairo  Khartoum
Cairo  Tripoli
Nouakchott  Rabat
Nouakchott  Algiers
Nouakchott  Bamako
Nouakchott  Caracas
Bamako  Nouakchott
Bamako  Rabat
Bamako  Algiers
Bamako  Niamey
Bamako  Accra
Niamey  Bamako
Niamey  Tripoli
Niamey  Algiers
Niamey  Abuja
Niamey  N'Djamena
Niamey  Accra
N'Djamena  Niamey
N'Djamena  Tripoli
N'Djamena  Yaounde
N'Djamena  Khartoum
N'Djamena  Abuja
Khartoum  N'Djamena
Khartoum  Cairo
Khartoum  Addis Ababa
Khartoum  Riyadh
Addis Ababa  Khartoum
Addis Ababa  Kampala
Accra  Niamey
Accra  Bamako
Accra  Abuja
Abuja  Accra  
Abuja  N'Djamena
Abuja  Yaounde
Abuja  Niamey
Yaounde  Abuja
Yaounde  N'Djamena
Yaounde  Kinshasa
Kinshasa  Yaounde
Kinshasa  Kampala
Kinshasa  Luanda
Kampala  Kinshasa
Kampala  Addis Ababa
Kampala  Antananarivo
Kampala  Dodoma
Luanda  Kinshasa
Luanda  Lusaka
Luanda  Windhoek
Lusaka  Luanda
Lusaka  Gaborone
Lusaka  Antananarivo 
Lusaka  Dodoma
Dodoma  Lusaka
Dodoma  Kampala
Dodoma  Antananarivo
Antananarivo  Lusaka
Antananarivo  Addis Ababa
Windhoek  Luanda
Windhoek  Cape Town
Windhoek  Gaborone
Gaborone  Windhoek
Gaborone  Lusaka
Gaborone  Cape Town
Antananarivo  Lusaka
Antananarivo  Dodoma
Cape Town  Gaborone
Cape Town  Windhoek
Reykjavik  Ottawa
Reykjavik  Dublin
Ottawa  Havana
Ottawa  Reykjavik
Ottawa  Mexico City
Havana  Ottawa
Havana  Mexico City
Havana  Caracas
Mexico City  Havana
Mexico City  Ottawa
Caracas  Havana
Caracas  Nouakchott
Caracas  Quito
Caracas  Brasilia
Quito  Caracas
Quito  Brasilia
Quito  Buenos Aires
Brasilia  Quito
Brasilia  Caracas
Brasilia  Buenos Aires
Buenos Aires  Quito
Buenos Aires  Brasilia
